1.3.6.1.4.1.1166.7.1.2,identChassisNumber
1.3.6.1.4.1.1166.7.1.4,identHardwareVersion
1.3.6.1.4.1.1166.7.1.5,identHardwareFeatures
1.3.6.1.4.1.1166.7.1.14,identIfExtensionTable
1.3.6.1.4.1.1166.7.1.14.1,identIfExtensionEntry
1.3.6.1.4.1.1166.7.1.14.1.1,identIfExtensionIndex
1.3.6.1.4.1.1166.7.1.14.1.2,identIfSerialNumber
1.3.6.1.4.1.1166.7.1.14.1.3,identIfHardwareVersion
1.3.6.1.4.1.1166.7.1.14.1.4,identIfHardwareFeatures
1.3.6.1.4.1.1166.7.1.14.1.5,identIfInventoryCode
1.3.6.1.4.1.1166.7.1.14.1.6,identIfFirmwareVersion1
1.3.6.1.4.1.1166.7.1.14.1.7,identIfFirmwareVersion2
1.3.6.1.4.1.1166.7.1.14.1.8,identIfFirmwareVersion3
1.3.6.1.4.1.1166.7.1.14.1.9,identIfFirmwareVersion4
1.3.6.1.4.1.1166.7.1.14.1.10,identIfSlotId
1.3.6.1.4.1.1166.7.1.14.1.11,identIfCommand
1.3.6.1.4.1.1166.7.1.14.1.12,identIfAdministrativeState
1.3.6.1.4.1.1166.7.1.14.1.13,identIfOperationalState
1.3.6.1.4.1.1166.7.1.14.1.14,identIfAlarmStatus
1.3.6.1.4.1.1166.7.1.14.1.15,identIfAvailabilityStatus
1.3.6.1.4.1.1166.7.1.14.1.16,identIfSpecific
1.3.6.1.4.1.1166.7.1.14.1.17,identIfEntryStatus
1.3.6.1.4.1.1166.7.3.1.16,trapChangedValueDisplayString
1.3.6.1.4.1.1166.7.3.1.17,trapChangedValueOID
1.3.6.1.4.1.1166.7.3.1.18,trapChangedValueIPAddress
1.3.6.1.4.1.1166.7.3.1.19,trapChangedValueInteger
1.3.6.1.4.1.1166.7.3.2.2.1.3,trapReceiverCommunityString
1.3.6.1.4.1.1166.7.3.2.2.1.4,trapToBeSendQueueSize
1.3.6.1.4.1.1166.7.3.2.2.1.5,trapSentQueueSize
1.3.6.1.4.1.1166.7.3.2.2.1.6,trapThrottlingRate
1.3.6.1.4.1.1166.7.3.2.2.1.7,trapLastSent
1.3.6.1.4.1.1166.7.3.2.2.1.8,trapReceiversEntryOperState
1.3.6.1.4.1.1166.7.3.2.2.1.9,trapResendRequest
1.3.6.1.4.1.1166.7.3.2.3,bcsNumberOfDiscriminators
1.3.6.1.4.1.1166.7.3.2.4,trapDiscrimTable
1.3.6.1.4.1.1166.7.3.2.4.1,trapDiscrimTableEntry
1.3.6.1.4.1.1166.7.3.2.4.1.1,trapDiscrimTableIndex
1.3.6.1.4.1.1166.7.3.2.4.1.2,trapDiscrimReceiverAddr
1.3.6.1.4.1.1166.7.3.2.4.1.3,trapDiscrimAvailabilityStatus
1.3.6.1.4.1.1166.7.3.2.4.1.4,trapDiscrimWeeklyMask
1.3.6.1.4.1.1166.7.3.2.4.1.5,trapDiscrimDailyStartTime
1.3.6.1.4.1.1166.7.3.2.4.1.6,trapDiscrimDailyStopTime
1.3.6.1.4.1.1166.7.3.2.4.1.7,trapSeverityDiscrim
1.3.6.1.4.1.1166.7.3.2.4.1.8,trapDiscrimOperationalState
1.3.6.1.4.1.1166.7.3.2.4.1.9,trapDiscrimConfigChaneCntl
1.3.6.1.4.1.1166.7.3.2.4.1.10,trapDiscrimEntryStatus
1.3.6.1.4.1.1166.1.102.1.50,bncSiteTable
1.3.6.1.4.1.1166.1.102.1.50.1,bncSiteEntry
1.3.6.1.4.1.1166.1.102.1.50.1.1,bncSiteIndex
1.3.6.1.4.1.1166.1.102.1.50.1.2,bncSiteName
1.3.6.1.4.1.1166.1.102.1.50.1.3,bncSiteHealthStatus
1.3.6.1.4.1.1166.1.102.1.50.1.4,bncSiteHealthStatusChange
1.3.6.1.4.1.1166.1.102.1.51.1.1,bncSiteIndexG
1.3.6.1.4.1.1166.1.102.1.52.1.1,bncSiteIndexE
1.3.6.1.4.1.1166.1.102.1.53.5,bncDatabaseCheckpoint
1.3.6.1.4.1.1166.1.102.1.53.5.1,bncDatabaseCheckpointTimestamp
1.3.6.1.4.1.1166.1.102.1.53.5.2,bncDatabaseCheckpointSourceIP
1.3.6.1.4.1.1166.1.102.1.53.5.3,bncDatabaseCheckpointPublish
1.3.6.1.4.1.1166.1.102.1.54.1,bncDecoderControlDataTransmit
1.3.6.1.4.1.1166.1.102.1.54.2,bncDecoderControlChannelDataPublish
1.3.6.1.4.1.1166.1.102.1.55.1.1,bncSiteIndexS
1.3.6.1.4.1.1166.1.102.1.56.1.1,bncSiteIndexP
